band,address,street,neighborhood,geo_type,ptype,sqft,waterfront,list_price,ask_ppsf,supported_ppsf,supported_value,under_pct,opportunity,street_comps,confidence,reasons
<$1M,3101 Bayshore Drive,Bayshore Dr,Fort Lauderdale Residence,Barrier island / beach,Condo,1176,True,810000,689.0,846.0,995000,22.8,185000,83,Condo — verify,"Asking $689/sqft — 23% under supported $846/sqft (83 sales on Bayshore Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2924 NW 8th Avenue,NW 8th Ave,Jenada Villas,Mainland inland,Single Family,2465,False,695000,282.0,357.0,880000,26.6,185000,8,High,Asking $282/sqft — 27% under supported $357/sqft (8 sales on NW 8th Ave).
<$1M,2821 N Ocean Blvd Unit#508S,N Ocean Blvd,Sapphire Fort Lauderdale,Barrier island / beach,Condo,1500,False,995000,663.0,784.0,1176000,18.3,182000,147,Condo — verify,"Asking $663/sqft — 18% under supported $784/sqft (147 sales on N Ocean Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,1609 NW 7th Ter,NW 7th Ter,Progresso,Mainland inland,Single Family,2034,False,559000,275.0,364.0,740000,32.4,181000,10,High,Asking $275/sqft — 32% under supported $364/sqft (10 sales on NW 7th Ter).
<$1M,936 Intracoastal Dr Unit#15H,Intracoastal Dr,Corinthian On Intraco Corinthian,Intracoastal / canal waterfront,Condo,1620,True,874000,540.0,651.0,1055000,20.6,180000,39,Condo — verify,"Asking $540/sqft — 21% under supported $651/sqft (39 sales on Intracoastal Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,2821 N Ocean Boulevard Unit#503s,N Ocean Blvd,Sapphire Fort Lauderdale,Barrier island / beach,Condo,1888,False,1325000,702.0,797.0,1505000,13.5,179000,147,Condo — verify,"Asking $702/sqft — 14% under supported $797/sqft (147 sales on N Ocean Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2300 NE 16th Avenue,NE 16th Ave,Edgewater Estates,Mainland inland,Single Family,1690,False,979900,580.0,684.0,1156000,17.9,176000,73,High,Asking $580/sqft — 18% under supported $684/sqft (73 sales on NE 16th Ave).
<$1M,936 Intracoastal Drive Unit#12h,Intracoastal Dr,Corinthian On Intracoa,Intracoastal / canal waterfront,Condo,1620,True,875000,540.0,648.0,1050000,20.0,175000,39,Condo — verify,"Asking $540/sqft — 20% under supported $648/sqft (39 sales on Intracoastal Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2100 S Ocean Lane Unit#703,S Ocean Ln,Point Americas,Barrier island / beach,Condo,1500,True,845000,563.0,677.0,1016000,20.2,171000,66,Condo — verify,"Asking $563/sqft — 20% under supported $677/sqft (66 sales on S Ocean Ln). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2936 Coral Shores Dr,Coral Shores Dr,Coral Shores,Mainland inland,Single Family,1481,False,750000,506.0,621.0,920000,22.7,170000,7,High,Asking $506/sqft — 23% under supported $621/sqft (7 sales on Coral Shores Dr).
<$1M,2901 NW 9th Ter,NW 9th Ter,Jenada Villas,Intracoastal / canal waterfront,Single Family,2023,True,790000,391.0,475.0,961000,21.5,170000,8,High,Asking $391/sqft — 21% under supported $475/sqft (8 sales on NW 9th Ter).
<$1M,1420 NW 5th Avenue,NW 5th Ave,Progresso,Mainland inland,Single Family,1615,False,565000,350.0,455.0,735000,30.0,170000,13,High,Asking $350/sqft — 30% under supported $455/sqft (13 sales on NW 5th Ave).
$1M–$2M,3100 NE 21st Street,NE 21st St,Lauderdale Beach Ext,Barrier island / beach,Single Family,1939,False,1300000,670.0,757.0,1468000,13.0,169000,5,High,"Asking $670/sqft — 13% under supported $757/sqft (5 sales on NE 21st St). | In Lauderdale Beach Ext's $1M–$2M band, homes sell around $736/sqft."
<$1M,1836 SW 9th Ave,SW 9th Ave,Port,Mainland inland,Single Family,1581,False,599000,379.0,485.0,767000,28.0,168000,10,High,Asking $379/sqft — 28% under supported $485/sqft (10 sales on SW 9th Ave).
<$1M,2011 N Ocean Boulevard Unit#1406N,N Ocean Blvd,Vue,Barrier island / beach,Condo,1268,False,833900,658.0,790.0,1002000,20.1,167000,147,Condo — verify,"Asking $658/sqft — 20% under supported $790/sqft (147 sales on N Ocean Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,3040 N Ocean Blvd Unit#N101,N Ocean Blvd,Thirty North Ocean Con Thirty Ocean,Barrier island / beach,Condo,2119,False,1900000,897.0,974.0,2064000,8.6,163000,147,Condo — verify,"Asking $897/sqft — 9% under supported $974/sqft (147 sales on N Ocean Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,936 Intracoastal Dr Unit#9H,Intracoastal Dr,Corinthian On Intraco Corinthian,Intracoastal / canal waterfront,Condo,1620,True,895000,552.0,651.0,1055000,17.9,160000,39,Condo — verify,"Asking $552/sqft — 18% under supported $651/sqft (39 sales on Intracoastal Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,1245 NE 17TH Way,NE 17th Way,Lake Ridge,Mainland inland,Single Family,2976,False,1299000,436.0,489.0,1455000,12.2,158000,44,High,Asking $436/sqft — 12% under supported $489/sqft (44 sales on NE 17th Way).
<$1M,1514 SW 4th Avenue Unit#1514,SW 4th Ave,Name,Mainland inland,Townhouse,2220,False,994100,448.0,519.0,1152000,15.8,158000,20,High,Asking $448/sqft — 16% under supported $519/sqft (20 sales on SW 4th Ave).
<$1M,2012 SW 4th Avenue,SW 4th Ave,Lauderdale,Mainland inland,Single Family,1782,False,839000,471.0,559.0,996000,18.7,157000,20,High,Asking $471/sqft — 19% under supported $559/sqft (20 sales on SW 4th Ave).
<$1M,1500 SW 20th Street,SW 20th St,River Oaks,Mainland inland,Single Family,2464,False,840000,341.0,403.0,993000,18.2,153000,8,High,Asking $341/sqft — 18% under supported $403/sqft (8 sales on SW 20th St).
<$1M,1901 N Ocean Boulevard Unit#9e,N Ocean Blvd,Shore Club,Barrier island / beach,Condo,1500,False,899000,599.0,700.0,1050000,16.9,152000,147,Condo — verify,"Asking $599/sqft — 17% under supported $700/sqft (147 sales on N Ocean Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,424 Hendricks Isle Unit#6,Hendricks Isle,Boathouse,Intracoastal / canal waterfront,Townhouse,2260,True,1295000,573.0,640.0,1446000,11.7,151000,32,High,Asking $573/sqft — 12% under supported $640/sqft (32 sales on Hendricks Isle).
$1M–$2M,906 NE 17TH TER,NE 17th Ter,Victoria Park,Mainland inland,Townhouse,2623,False,1650000,629.0,684.0,1794000,8.7,144000,26,High,Asking $629/sqft — 9% under supported $684/sqft (26 sales on NE 17th Ter). | Newer construction (built 2026) priced near existing-home levels ($523/sqft).
$1M–$2M,1800 S Ocean Drive Unit#109,S Ocean Dr,Townhouses Harbor Beach,Barrier island / beach,Townhouse,1904,True,1299000,682.0,757.0,1441000,11.0,143000,49,High,Asking $682/sqft — 11% under supported $757/sqft (49 sales on S Ocean Dr).
<$1M,551 N Fort Lauderdale Beach Blvd Unit#H1715,N Fort Lauderdale Beach Blvd,Flb Condominium Hotel Elliott,Barrier island / beach,Condo,451,True,599000,1328.0,1646.0,742000,23.9,143000,78,Condo — verify,"Asking $1,328/sqft — 24% under supported $1,646/sqft (78 sales on N Fort Lauderdale Beach Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,341 City View Dr,City View Dr,City View City View Townhomes,Downtown high-rise,Townhouse,1452,False,479999,331.0,429.0,623000,29.6,142000,11,High,Asking $331/sqft — 30% under supported $429/sqft (11 sales on City View Dr).
<$1M,1406 NE 15th Street,NE 15th St,Verena Park,Mainland inland,Single Family,2273,False,699000,308.0,370.0,841000,20.1,141000,17,High,Asking $308/sqft — 20% under supported $370/sqft (17 sales on NE 15th St).
<$1M,100 S Birch Road Unit#1102C,S Birch Rd,Jackson Tower,Barrier island / beach,Condo,1990,True,975000,490.0,561.0,1116000,14.5,141000,25,Condo — verify,"Asking $490/sqft — 14% under supported $561/sqft (25 sales on S Birch Rd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,320 SW 21st Street,SW 21st St,Lauderdale,Mainland inland,Single Family,1476,False,575000,390.0,485.0,716000,24.4,140000,4,Medium,Asking $390/sqft — 24% under supported $485/sqft (4 sales on SW 21st St).
<$1M,2021 NW 10th Ave,NW 10th Ave,Hillmont Middle River Vis,Mainland inland,Single Family,1406,False,349500,249.0,348.0,489000,39.8,139000,7,High,Asking $249/sqft — 40% under supported $348/sqft (7 sales on NW 10th Ave).
<$1M,2900 NE 12th Ter Unit#14,NE 12th Ter,Pointe Middle River,Intracoastal / canal waterfront,Townhouse,2152,True,889000,413.0,476.0,1024000,15.3,136000,4,Medium,Asking $413/sqft — 15% under supported $476/sqft (4 sales on NE 12th Ter).
<$1M,511 Bayshore Drive Unit#405,Bayshore Dr,Bayshore Towers,Barrier island / beach,Condo,1330,True,699000,526.0,628.0,835000,19.4,136000,83,Condo — verify,"Asking $526/sqft — 19% under supported $628/sqft (83 sales on Bayshore Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,1328 SW 21st Court,SW 21st Ct,River Oaks,Mainland inland,Single Family,3058,False,1340499,438.0,482.0,1474000,10.0,135000,0,Neighborhood,Asking $438/sqft — 10% under supported $482/sqft (19 sales in River Oaks).
<$1M,936 Intracoastal Drive Unit#22F,Intracoastal Dr,Corinthian On Intracoa,Intracoastal / canal waterfront,Condo,1500,True,849000,566.0,655.0,982000,15.7,134000,39,Condo — verify,"Asking $566/sqft — 16% under supported $655/sqft (39 sales on Intracoastal Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,1529 NW 1st Ave,NW 1st Ave,Progresso,Mainland inland,Single Family,1300,False,497900,383.0,485.0,630000,26.6,133000,32,High,Asking $383/sqft — 27% under supported $485/sqft (32 sales on NW 1st Ave).
<$1M,630 SE 15th St Unit#5,SE 15th St,Everglades Land Sales Co Harbor Vista,Mainland inland,Townhouse,1826,False,679900,372.0,443.0,809000,19.1,130000,45,High,Asking $372/sqft — 19% under supported $443/sqft (45 sales on SE 15th St).
<$1M,1823 SW 22nd St,SW 22nd St,Osceola Park,Mainland inland,Single Family,1926,False,636000,330.0,397.0,765000,20.3,129000,7,High,Asking $330/sqft — 20% under supported $397/sqft (7 sales on SW 22nd St).
<$1M,2401 NE 17th Terrace,NE 17th Ter,Max Swartz,Mainland inland,Single Family,1320,False,785000,595.0,691.0,912000,16.1,127000,26,High,Asking $595/sqft — 16% under supported $691/sqft (26 sales on NE 17th Ter).
<$1M,700 SE 14th St Unit#G,SE 14th St,Southport Townhomes,Mainland inland,Townhouse,1250,False,398000,318.0,418.0,522000,31.4,125000,8,High,Asking $318/sqft — 31% under supported $418/sqft (8 sales on SE 14th St).
<$1M,817 SW 12th St,SW 12th St,Vinik,Mainland inland,Single Family,1679,False,620000,369.0,442.0,742000,19.8,123000,17,High,Asking $369/sqft — 20% under supported $442/sqft (17 sales on SW 12th St).
$1M–$2M,349 NE 29th Street,NE 29th St,Tropical Manors,Intracoastal / canal waterfront,Single Family,2204,True,1295000,588.0,643.0,1417000,9.4,121000,18,High,Asking $588/sqft — 9% under supported $643/sqft (18 sales on NE 29th St).
$1M–$2M,1004 SE 11th Street,SE 11th St,Rio Vista,Mainland inland,Single Family,1891,False,1330000,703.0,766.0,1449000,9.0,119000,6,High,Asking $703/sqft — 9% under supported $766/sqft (6 sales on SE 11th St).
$1M–$2M,1314 NE 13th Avenue Unit#A-b,NE 13th Ave,Holiday Heights,Mainland inland,Townhouse,2400,False,1299999,542.0,591.0,1418000,9.0,118000,15,High,Asking $542/sqft — 9% under supported $591/sqft (15 sales on NE 13th Ave).
<$1M,3000 Holiday Drive Unit#1103,Holiday Dr,Maya Marca,Barrier island / beach,Condo,1627,True,750000,461.0,531.0,864000,15.2,114000,11,Condo — verify,"Asking $461/sqft — 15% under supported $531/sqft (11 sales on Holiday Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,1441 SW 23rd Court,SW 23rd Ct,Marina Landings,Mainland inland,Single Family,2779,False,1185000,426.0,467.0,1298000,9.6,114000,0,Neighborhood,Asking $426/sqft — 10% under supported $467/sqft (25 sales in Marina Landings).
<$1M,820 SW 18th Court,SW 18th Ct,Port,Mainland inland,Single Family,1749,False,685000,392.0,457.0,799000,16.6,114000,11,High,Asking $392/sqft — 17% under supported $457/sqft (11 sales on SW 18th Ct).
<$1M,1308 SW 9th Avenue,SW 9th Ave,Isles View,Mainland inland,Single Family,1632,False,579999,355.0,423.0,690000,19.2,111000,10,High,Asking $355/sqft — 19% under supported $423/sqft (10 sales on SW 9th Ave).
<$1M,2024 NE 26th Drive,NE 26th Dr,Coral Gardens,Mainland inland,Single Family,1310,False,530000,405.0,489.0,641000,20.7,110000,11,High,"Asking $405/sqft — 21% under supported $489/sqft (11 sales on NE 26th Dr). | ~6,994 sqft lot — land alone is worth ~$307,037 of the $530,000 ask."
<$1M,2856 NW 10th Ave,NW 10th Ave,Jenada Isles,Finger-isle waterfront,Single Family,2151,True,899000,418.0,469.0,1009000,12.2,110000,7,High,Asking $418/sqft — 12% under supported $469/sqft (7 sales on NW 10th Ave).
<$1M,1031 NE 13th Ave,NE 13th Ave,Progresso,Mainland inland,Townhouse,2680,False,950000,354.0,395.0,1059000,11.6,110000,15,High,Asking $354/sqft — 12% under supported $395/sqft (15 sales on NE 13th Ave).
<$1M,3101 Bayshore Dr Unit#704,Bayshore Dr,Fort Lauderdale Residence Fort Lauderdale,Barrier island / beach,Condo,1176,True,797000,678.0,771.0,907000,13.7,109000,83,Condo — verify,"Asking $678/sqft — 14% under supported $771/sqft (83 sales on Bayshore Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,1717 NE 20th Avenue,NE 20th Ave,Lauder Gate,Intracoastal / canal waterfront,Single Family,1620,True,1000000,617.0,684.0,1108000,10.9,109000,6,High,Asking $617/sqft — 11% under supported $684/sqft (6 sales on NE 20th Ave).
<$1M,1100 NW 7th Ave,NW 7th Ave,Progresso,Mainland inland,Single Family,1258,False,415000,330.0,415.0,522000,25.8,107000,21,High,Asking $330/sqft — 26% under supported $415/sqft (21 sales on NW 7th Ave).
<$1M,1317 SW 4th Street,SW 4th St,Village Sailboat Bend,Mainland inland,Townhouse,1853,False,465000,251.0,309.0,573000,23.1,107000,8,High,Asking $251/sqft — 23% under supported $309/sqft (8 sales on SW 4th St).
<$1M,2417 NW 7th Avenue,NW 7th Ave,Hillbrook,Mainland inland,Single Family,1763,False,649000,368.0,428.0,755000,16.3,106000,21,High,Asking $368/sqft — 16% under supported $428/sqft (21 sales on NW 7th Ave).
<$1M,315 NE 3rd Avenue Unit#1201,NE 3rd Ave,Strada,Downtown high-rise,Condo,1185,False,448000,378.0,467.0,553000,23.5,105000,57,Condo — verify,"Asking $378/sqft — 24% under supported $467/sqft (57 sales on NE 3rd Ave). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2024 NW 10th Ave,NW 10th Ave,Hillmont Middle River Vis,Intracoastal / canal waterfront,Single Family,1608,True,650000,404.0,468.0,753000,15.8,103000,7,High,Asking $404/sqft — 16% under supported $468/sqft (7 sales on NW 10th Ave).
<$1M,1408 NW 9th Ave,NW 9th Ave,Progresso,Mainland inland,Single Family,1331,False,405000,304.0,381.0,507000,25.3,102000,8,High,Asking $304/sqft — 25% under supported $381/sqft (8 sales on NW 9th Ave).
<$1M,1750 S Ocean Lane Unit#219,S Ocean Ln,Lago Mar Place Co Op,Barrier island / beach,Condo,1158,True,625000,540.0,627.0,726000,16.1,101000,66,Condo — verify,"Asking $540/sqft — 16% under supported $627/sqft (66 sales on S Ocean Ln). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,315 NE 3rd Avenue Unit#1506,NE 3rd Ave,Strada,Downtown high-rise,Condo,1579,False,610000,386.0,450.0,711000,16.6,101000,57,Condo — verify,"Asking $386/sqft — 17% under supported $450/sqft (57 sales on NE 3rd Ave). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,1449 SW 23rd Court,SW 23rd Ct,Marina Landings,Mainland inland,Single Family,2779,False,1199000,431.0,467.0,1298000,8.4,100000,0,Neighborhood,Asking $431/sqft — 8% under supported $467/sqft (25 sales in Marina Landings).
$1M–$2M,1 N Fort Lauderdale Beach Blvd Unit#1605,N Fort Lauderdale Beach Blvd,Castillo Grand Hotel Resi Ritz Carlton,Barrier island / beach,Condo,832,True,1150000,1382.0,1502.0,1250000,8.7,100000,78,Condo — verify,"Asking $1,382/sqft — 9% under supported $1,502/sqft (78 sales on N Fort Lauderdale Beach Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2100 S Ocean Drive Unit#11-L,S Ocean Dr,Sky Harbour East,Finger-isle waterfront,Condo,900,True,469000,521.0,630.0,567000,20.9,98000,49,Condo — verify,"Asking $521/sqft — 21% under supported $630/sqft (49 sales on S Ocean Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,520 SE 5th Avenue Unit#2406,SE 5th Ave,Las Olas,Downtown high-rise,Condo,1136,False,439000,386.0,472.0,536000,22.3,98000,73,Condo — verify,"Asking $386/sqft — 22% under supported $472/sqft (73 sales on SE 5th Ave). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2217 NW 4th Avenue,NW 4th Ave,Hillbrook,Mainland inland,Single Family,1365,False,589000,432.0,503.0,687000,16.4,97000,12,High,Asking $432/sqft — 16% under supported $503/sqft (12 sales on NW 4th Ave).
<$1M,3101 Bayshore Dr Unit#1704,Bayshore Dr,Fort Lauderdale Residence Residences,Barrier island / beach,Condo,1176,True,810000,689.0,771.0,907000,11.9,96000,83,Condo — verify,"Asking $689/sqft — 12% under supported $771/sqft (83 sales on Bayshore Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,520 SE 5th Avenue Unit#3209,SE 5th Ave,Las Olas,Downtown high-rise,Condo,1120,False,389000,347.0,432.0,484000,24.5,95000,73,Condo — verify,"Asking $347/sqft — 24% under supported $432/sqft (73 sales on SE 5th Ave). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,234 NE 21st Court,NE 21st Ct,Wilton Manors,Mainland inland,Single Family,1970,False,949900,482.0,530.0,1044000,10.0,95000,11,High,Asking $482/sqft — 10% under supported $530/sqft (11 sales on NE 21st Ct).
<$1M,1721 SW 23rd Street Unit#1721,SW 23rd St,Osceola Park,Mainland inland,Townhouse,3089,False,839000,272.0,302.0,933000,11.0,93000,30,High,Asking $272/sqft — 11% under supported $302/sqft (30 sales on SW 23rd St).
<$1M,511 Bayshore Drive Unit#904,Bayshore Dr,Bayshore Towers,Barrier island / beach,Condo,1330,True,743500,559.0,628.0,835000,12.3,92000,83,Condo — verify,"Asking $559/sqft — 12% under supported $628/sqft (83 sales on Bayshore Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,347 N New River Drive Unit#1808,N New River Dr,Watergarden,Intracoastal / canal waterfront,Condo,1080,True,649000,601.0,686.0,741000,14.1,92000,31,Condo — verify,"Asking $601/sqft — 14% under supported $686/sqft (31 sales on N New River Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,315 NE 3rd Ave Unit#2103,NE 3rd Ave,Strada,Downtown high-rise,Condo,1464,False,575000,393.0,455.0,666000,15.8,91000,57,Condo — verify,"Asking $393/sqft — 16% under supported $455/sqft (57 sales on NE 3rd Ave). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,347 N New River Dr E Unit#2206,N New River Dr E,Watergarden,Intracoastal / canal waterfront,Condo,820,True,445000,543.0,653.0,535000,20.3,90000,28,Condo — verify,"Asking $543/sqft — 20% under supported $653/sqft (28 sales on N New River Dr E). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,333 Las Olas Way Unit#1208,Las Olas Way,Las Olas,Intracoastal / canal waterfront,Condo,1161,True,699000,602.0,678.0,787000,12.6,88000,31,Condo — verify,"Asking $602/sqft — 13% under supported $678/sqft (31 sales on Las Olas Way). | Waterfront, yet priced below the area's waterfront median ($708/sqft). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,2610 NE 11th Court,NE 11th Ct,Coral Ridge,Mainland inland,Townhouse,2048,False,900000,439.0,482.0,987000,9.8,88000,0,Neighborhood,Asking $439/sqft — 10% under supported $482/sqft (73 sales in Coral Ridge).
<$1M,1212 NE 17th Ter,NE 17th Ter,Lake Ridge,Mainland inland,Single Family,1380,False,899000,651.0,713.0,984000,9.5,86000,26,High,Asking $651/sqft — 10% under supported $713/sqft (26 sales on NE 17th Ter).
<$1M,2832 NW 10th Ave,NW 10th Ave,Jenada Isles,Finger-isle waterfront,Single Family,1876,True,949999,506.0,552.0,1036000,9.1,86000,7,High,Asking $506/sqft — 9% under supported $552/sqft (7 sales on NW 10th Ave).
<$1M,1408 SW 4th Ave,SW 4th Ave,South Ft Lauderdale,Mainland inland,Townhouse,2105,False,765000,363.0,404.0,850000,11.3,86000,20,High,Asking $363/sqft — 11% under supported $404/sqft (20 sales on SW 4th Ave).
<$1M,1115 NW 1st Ave,NW 1st Ave,Progresso,Mainland inland,Single Family,1323,False,429000,324.0,388.0,513000,19.8,85000,32,High,Asking $324/sqft — 20% under supported $388/sqft (32 sales on NW 1st Ave).
<$1M,1839 SW 23rd Street,SW 23rd St,Osceola Park,Mainland inland,Single Family,1194,False,437000,366.0,437.0,522000,19.4,85000,30,High,Asking $366/sqft — 19% under supported $437/sqft (30 sales on SW 23rd St).
<$1M,533 NE 3rd Avenue Unit#204,NE 3rd Ave,Sole Fort Lauderdale Co,Downtown high-rise,Condo,1240,False,365999,295.0,363.0,450000,23.1,84000,57,Condo — verify,"Asking $295/sqft — 23% under supported $363/sqft (57 sales on NE 3rd Ave). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$1M–$2M,511 Bayshore Drive Unit#707,Bayshore Dr,Bayshore Towers,Barrier island / beach,Condo,1705,True,1000000,587.0,636.0,1084000,8.3,84000,83,Condo — verify,"Asking $587/sqft — 8% under supported $636/sqft (83 sales on Bayshore Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,100 S Birch Road Unit#1003f,S Birch Rd,Jackson Tower Las Olas Con,Barrier island / beach,Condo,1722,True,890000,517.0,565.0,973000,9.3,83000,25,Condo — verify,"Asking $517/sqft — 9% under supported $565/sqft (25 sales on S Birch Rd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,3101 Bayshore Drive Unit#1508,Bayshore Dr,Fort Lauderdale Residences,Barrier island / beach,Condo,1214,True,849500,700.0,768.0,932000,9.7,83000,83,Condo — verify,"Asking $700/sqft — 10% under supported $768/sqft (83 sales on Bayshore Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,1749 NW 18th Street,NW 18th St,Lauderdale Manors,Mainland inland,Single Family,1303,False,380000,292.0,355.0,463000,21.6,82000,11,High,Asking $292/sqft — 22% under supported $355/sqft (11 sales on NW 18th St).
<$1M,1777 NE 4th Avenue Unit#B3,NE 4th Ave,River Landings,Intracoastal / canal waterfront,Condo,1760,True,599900,341.0,387.0,681000,13.5,81000,5,Condo — verify,"Asking $341/sqft — 13% under supported $387/sqft (5 sales on NE 4th Ave). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,1124 NE 2nd Avenue Unit#1124,NE 2nd Ave,Silver Engrave,Mainland inland,Townhouse,2249,False,899000,400.0,435.0,978000,8.7,79000,23,High,Asking $400/sqft — 9% under supported $435/sqft (23 sales on NE 2nd Ave).
<$1M,1625 NE 20th Avenue,NE 20th Ave,Lauder Lake,Intracoastal / canal waterfront,Single Family,1362,True,797000,585.0,643.0,876000,9.9,79000,6,High,Asking $585/sqft — 10% under supported $643/sqft (6 sales on NE 20th Ave).
<$1M,1241 NW 6th Ave,NW 6th Ave,Progresso,Mainland inland,Single Family,1015,False,380000,374.0,451.0,458000,20.6,78000,18,High,"Asking $374/sqft — 21% under supported $451/sqft (18 sales on NW 6th Ave). | ~8,445 sqft lot — land alone is worth ~$228,860 of the $380,000 ask."
<$1M,340 Sunset Drive Unit#1506,Sunset Dr,Essex Tower,Intracoastal / canal waterfront,Condo,1218,True,559000,459.0,522.0,636000,13.7,77000,26,Condo — verify,"Asking $459/sqft — 14% under supported $522/sqft (26 sales on Sunset Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,1225 NW 10th Place,NW 10th Pl,Lauderdale Manors,Mainland inland,Single Family,984,False,300000,305.0,382.0,376000,25.2,76000,4,Medium,Asking $305/sqft — 25% under supported $382/sqft (4 sales on NW 10th Pl).
<$1M,14 NE 26th Court,NE 26th Ct,Sun Set Manors First,Mainland inland,Single Family,1747,False,859000,492.0,535.0,935000,8.7,75000,4,Medium,Asking $492/sqft — 9% under supported $535/sqft (4 sales on NE 26th Ct).
<$1M,347 N NEW RIVER Drive Unit#406,N New River Dr,Watergarden,Downtown high-rise,Condo,820,False,349000,426.0,515.0,422000,20.9,73000,31,Condo — verify,"Asking $426/sqft — 21% under supported $515/sqft (31 sales on N New River Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,1255 SW 15th Avenue,SW 15th Ave,Shady Banks,Mainland inland,Single Family,1392,False,599000,430.0,482.0,671000,12.1,72000,0,Neighborhood,Asking $430/sqft — 12% under supported $482/sqft (18 sales in Shady Banks).
<$1M,533 NE 3rd Ave Unit#503,NE 3rd Ave,Sole Fort Lauderdale,Downtown high-rise,Condo,1240,False,369999,298.0,356.0,441000,19.5,72000,57,Condo — verify,"Asking $298/sqft — 19% under supported $356/sqft (57 sales on NE 3rd Ave). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,347 N New River Dr E Unit#2205,N New River Dr E,Watergarden,Intracoastal / canal waterfront,Condo,1080,True,640000,593.0,659.0,712000,11.1,71000,28,Condo — verify,"Asking $593/sqft — 11% under supported $659/sqft (28 sales on N New River Dr E). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,200 S Birch Road Unit#701,S Birch Rd,Leisure Beach,Barrier island / beach,Condo,756,True,328000,434.0,528.0,399000,21.7,71000,25,Condo — verify,"Asking $434/sqft — 22% under supported $528/sqft (25 sales on S Birch Rd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,535 Hendricks Isle Apt Unit#306,Hendricks Isle,Burton Point,Intracoastal / canal waterfront,Condo,800,True,375000,469.0,556.0,445000,18.6,70000,32,Condo — verify,"Asking $469/sqft — 19% under supported $556/sqft (32 sales on Hendricks Isle). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,1515 E Broward Boulevard Unit#426,E Broward Blvd,Pine Crest Village,Mainland inland,Condo,960,False,325000,339.0,412.0,396000,21.5,70000,11,Condo — verify,"Asking $339/sqft — 22% under supported $412/sqft (11 sales on E Broward Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
<$1M,633 NW 30th Street,NW 30th St,March Estates,Intracoastal / canal waterfront,Single Family,1531,True,625000,408.0,454.0,695000,11.3,70000,7,High,Asking $408/sqft — 11% under supported $454/sqft (7 sales on NW 30th St).
<$1M,1101 River Reach Drive Unit#308,River Reach Dr,River Reach,Intracoastal / canal waterfront,Condo,1250,True,339900,272.0,328.0,410000,20.6,70000,50,Condo — verify,"Asking $272/sqft — 21% under supported $328/sqft (50 sales on River Reach Dr). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
